dataset,variant,object_count,write_s,total_bytes,cityobjects_bytes,sidecar_bytes,full_scan_s,window_query_s,row_groups_total,row_groups_touched,roundtrip_equal
9-304-532.city.json,cityparquet,930,0.056730,797336,797144,0,0.003853,0.003630,1,1,true
9-304-532.city.json,parquet-defaults,930,0.055581,796662,796470,0,0.003601,0.003537,1,1,true
9-304-532.city.json,no-dictionary,930,0.053066,782329,782137,0,0.003001,0.002902,1,1,true
9-304-532.city.json,no-bss,930,0.053404,784350,784158,0,0.003402,0.003341,1,1,true
9-304-532.city.json,no-delta,930,0.054101,800585,800393,0,0.003559,0.003299,1,1,true
9-304-532.city.json,snappy,930,0.052698,1195769,1195577,0,0.002966,0.002891,1,1,true
9-304-532.city.json,cityparquet+hilbert,930,0.056660,802103,801911,0,0.003553,0.003469,1,1,true
9-304-532.city.json,cityparquet+by-type,930,0.055238,832926,832685,0,0.004553,0.004565,2,2,true
9-304-532.city.json,cityparquet+rg4096,930,0.054472,797336,797144,0,0.003458,0.003445,1,1,true
9-304-532.city.json,cityparquet+hilbert+rg4096,930,0.058542,802103,801911,0,0.003659,0.004222,1,1,true
9-304-532.city.json,duckdb-copy,930,0.276098,855515,855515,0,0.063308,,,,
9-304-532.city.json,duckdb-copy-zstd,930,0.274970,517762,517762,0,0.068477,,,,
